title,url,image_url,scraped_at
Kyiv hit by barrage of drone strikes as Putin rejects Trump's truce bid,https://www.bbc.com/news/articles/cx2g3qvz0pvo,https://ichef.bbci.co.uk/news/480/cpsprodpb/6f3a/live/47617180-58a2-11f0-bce0-953293c47b25.jpg.webp,2025-07-04 09:38:12.714975
Gaza aid contractor tells BBC he saw colleagues fire on hungry Palestinians,https://www.bbc.com/news/articles/cnvmry71q5yo,https://ichef.bbci.co.uk/news/480/cpsprodpb/c8a4/live/f75edd30-5851-11f0-b5c5-012c5796682d.jpg.webp,2025-07-04 09:38:12.715266
Oasis 'sounding huge' as comeback tour launches,https://www.bbc.com/news/articles/cz7l1x7x80ro,https://ichef.bbci.co.uk/news/480/cpsprodpb/8d04/live/20965070-58a7-11f0-89e2-79ed31792589.jpg.webp,2025-07-04 09:38:12.715503
Gaza aid contractor tells BBC he saw colleagues fire on hungry Palestinians,https://www.bbc.com/news/articles/cnvmry71q5yo,https://ichef.bbci.co.uk/news/480/cpsprodpb/c8a4/live/f75edd30-5851-11f0-b5c5-012c5796682d.jpg.webp,2025-07-04 09:38:12.716074
Megabill gives Trump major win - but it comes with risks down road,https://www.bbc.com/news/articles/clynr0yywdeo,https://ichef.bbci.co.uk/news/480/cpsprodpb/e303/live/74f93f40-5813-11f0-960d-e9f1088a89fe.jpg.webp,2025-07-04 09:38:12.716265
Oasis 'sounding huge' as comeback tour launches,https://www.bbc.com/news/articles/cz7l1x7x80ro,https://ichef.bbci.co.uk/news/480/cpsprodpb/8d04/live/20965070-58a7-11f0-89e2-79ed31792589.jpg.webp,2025-07-04 09:38:12.716448
"Tax cuts, healthcare and tips: The key items in Trump's 'big, beautiful bill'",https://www.bbc.com/news/articles/c0eqpz23l9jo,https://ichef.bbci.co.uk/news/480/cpsprodpb/a671/live/83f05060-585e-11f0-9074-8989d8c97d87.jpg.webp,2025-07-04 09:38:12.717375
The curious case of the British jet stuck in India,https://www.bbc.com/news/articles/cy8gj2nlnywo,https://ichef.bbci.co.uk/news/480/cpsprodpb/74ec/live/8f6f41e0-57d1-11f0-afd3-09c045feb7a1.jpg.webp,2025-07-04 09:38:12.717570
"Diddy's reputation is tarnished, but could he find a way back?",https://www.bbc.com/news/articles/cd0vdx41ddzo,https://ichef.bbci.co.uk/news/480/cpsprodpb/cd1b/live/5b04eb00-57ed-11f0-9074-8989d8c97d87.jpg.webp,2025-07-04 09:38:12.717758
The curious case of the British jet stuck in India,https://www.bbc.com/news/articles/cy8gj2nlnywo,https://ichef.bbci.co.uk/news/480/cpsprodpb/74ec/live/8f6f41e0-57d1-11f0-afd3-09c045feb7a1.jpg.webp,2025-07-04 09:38:12.718453
Weekly quiz: Who threw a star-studded wedding party in Venice?,https://www.bbc.com/news/articles/c23gp3yeym0o,https://ichef.bbci.co.uk/news/480/cpsprodpb/888d/live/ada3c850-582d-11f0-b5c5-012c5796682d.jpg.webp,2025-07-04 09:38:12.718768
The sale of illegal cigarettes signals a deeper problem with UK high streets,https://www.bbc.com/news/articles/cy9097lwxg9o,https://ichef.bbci.co.uk/news/480/cpsprodpb/d30b/live/e300caf0-4b8c-11f0-86d5-3b52b53af158.png.webp,2025-07-04 09:38:12.719005
"Diddy's reputation is tarnished, but could he find a way back?",https://www.bbc.com/news/articles/cd0vdx41ddzo,https://ichef.bbci.co.uk/news/480/cpsprodpb/cd1b/live/5b04eb00-57ed-11f0-9074-8989d8c97d87.jpg.webp,2025-07-04 09:38:12.719243
Angélique Kidjo first black African to get Hollywood Walk of Fame star,https://www.bbc.com/news/articles/cqx2g5znggpo,https://ichef.bbci.co.uk/news/480/cpsprodpb/c866/live/6a0171d0-5821-11f0-9074-8989d8c97d87.jpg.webp,2025-07-04 09:38:12.721841
Suspended UK MP quitting Labour to start party with Corbyn,https://www.bbc.com/news/articles/cwyel9kgdvdo,https://ichef.bbci.co.uk/news/480/cpsprodpb/ed3a/live/1a22fc50-584a-11f0-a07d-dd7c432cf458.jpg.webp,2025-07-04 09:38:12.722203
Fictional K-pop bands zoom to top 10 of US music charts,https://www.bbc.com/news/articles/clyl1zyv1y2o,https://ichef.bbci.co.uk/news/480/cpsprodpb/ad58/live/f096f370-5883-11f0-bdfb-73c69043696b.jpg.webp,2025-07-04 09:38:12.722396
Suspended UK MP quitting Labour to start party with Corbyn,https://www.bbc.com/news/articles/cwyel9kgdvdo,https://ichef.bbci.co.uk/news/480/cpsprodpb/ed3a/live/1a22fc50-584a-11f0-a07d-dd7c432cf458.jpg.webp,2025-07-04 09:38:12.723030
UN expert calls for companies to stop doing business with Israel,https://www.bbc.com/news/articles/cx2039xpv87o,https://ichef.bbci.co.uk/news/480/cpsprodpb/485c/live/c9a0ba40-5805-11f0-9074-8989d8c97d87.jpg.webp,2025-07-04 09:38:12.723536
Fictional K-pop bands zoom to top 10 of US music charts,https://www.bbc.com/news/articles/clyl1zyv1y2o,https://ichef.bbci.co.uk/news/480/cpsprodpb/ad58/live/f096f370-5883-11f0-bdfb-73c69043696b.jpg.webp,2025-07-04 09:38:12.724001
Can Raducanu bridge gap to world's best Sabalenka?,https://www.bbc.com/sport/tennis/articles/c77v60kz5zno,https://static.files.bbci.co.uk/bbcdotcom/web/20250701-150711-e3d94715db-web-2.24.1-1/grey-placeholder.png,2025-07-04 09:38:12.726266
Death of Liverpool forward Jota leaves football world in shock,https://www.bbc.com/sport/football/articles/crl05r070wro,https://static.files.bbci.co.uk/bbcdotcom/web/20250701-150711-e3d94715db-web-2.24.1-1/grey-placeholder.png,2025-07-04 09:38:12.727428
Why have record number of seeded players lost at Wimbledon?,https://www.bbc.com/sport/tennis/articles/ckgje58rx2wo,https://static.files.bbci.co.uk/bbcdotcom/web/20250701-150711-e3d94715db-web-2.24.1-1/grey-placeholder.png,2025-07-04 09:38:12.727929
