title,url,image_url,scraped_at
Zelenskyy blasts 'cynical' Russian attack - as Trump says he's disappointed in Putin,https://news.sky.com/story/ukraine-war-putin-trump-latest-live-zelenskyy-attack-moscow-12541713,https://e3.365dm.com/25/07/768x432/skynews-kyiv-ukraine-russia-war-invasion_6956863.jpg?20250704104714,2025-07-04 10:19:25.270185
'Forests were full of dead bodies': The ordeal of Russian soldiers forced to flee Putin's army,https://news.sky.com/story/the-russian-deserters-escaping-from-putins-army-13390835,https://e3.365dm.com/25/07/384x288/skynews-sky-putin-russia_6954261.jpg?20250701093739,2025-07-04 10:19:25.270421
I followed the PM wherever he went during his first year in office - here's what I've observed,https://news.sky.com/story/starmer-marks-first-year-with-a-clear-crisis-and-blow-to-his-leadership-13392156,https://e3.365dm.com/25/07/384x288/skynews-starmer-keir_6956741.jpg?20250704063254,2025-07-04 10:19:25.270607
Gaza aid group reacts to claims American contractors fired at starving Palestinians,https://news.sky.com/story/gaza-aid-group-reacts-to-claims-american-contractors-fired-at-starving-palestinians-13392148,https://e3.365dm.com/25/07/384x288/skynews-gaza-aid-ghf_6956715.jpg?20250704002558,2025-07-04 10:19:25.270741
Liverpool mourns Jota as police probe fatal crash; crowds gather in Portugal for hearse carrying forward and his brother,https://news.sky.com/story/diogo-jota-dies-latest-liverpool-forward-killed-in-car-crash-in-spain-two-weeks-after-his-wedding-13391750,https://e3.365dm.com/25/07/384x288/skynews-diogo-jota-liverpool_6956846.jpg?20250704095818,2025-07-04 10:19:25.270928
Pope prays for injured after massive petrol station explosion,https://news.sky.com/story/20-injured-in-rome-petrol-station-explosion-and-fire-13392221,https://e3.365dm.com/25/07/384x288/skynews-rome-explosion_6956840.jpg?20250704094527,2025-07-04 10:19:25.271065
"Corbyn to set up new left-wing political party in challenge to Starmer, ally says",https://news.sky.com/story/politics-latest-starmer-reeves-chancellor-crying-welfare-u-turn-benefits-tax-rises-12593360,https://e3.365dm.com/25/07/384x288/skynews-zara-sultana-jeremy-corbyn_6956801.jpg?20250704083609,2025-07-04 10:19:25.271229
"'Families held to ransom': Ryanair boss furious as strikes force 1,500 flight cancellations | Money",https://news.sky.com/story/money-live-newsletter-consumer-personal-finance-latest-sky-news-13040934,https://e3.365dm.com/25/07/384x288/skynews-ryanir-flight_6956814.jpg?20250704092048,2025-07-04 10:19:25.271408
"Police release footage as more than 1,000 arrests made using live facial recognition technology",https://news.sky.com/story/met-police-release-footage-as-more-than-1-000-arrests-made-using-live-facial-recognition-technology-13391999,https://e3.365dm.com/25/05/384x288/skynews-david-cheneler-police_6923419.jpg?20250521163921,2025-07-04 10:19:25.271538
What you need to know about the Oasis tour - and why Cardiff is the first stop,https://news.sky.com/story/oasis-tour-what-you-need-to-know-and-why-cardiff-is-the-first-stop-13391381,https://e3.365dm.com/25/07/384x288/skynews-wales-oasis-cardiff_6955451.png?20250702143058,2025-07-04 10:19:25.271694
